Year,Group,Value
2016,settlemalet. village 1st level (basic. 0-3 points),62
2017,settlemalet. village 1st level (basic. 0-3 points),65
2018,settlemalet. village 1st level (basic. 0-3 points),62
2019,settlemalet. village 1st level (basic. 0-3 points),59
2020,settlemalet. village 1st level (basic. 0-3 points),50
2021,settlemalet. village 1st level (basic. 0-3 points),42
2016,settlemalet. village 2nd level (intermediate. 4-6 points),41
2017,settlemalet. village 2nd level (intermediate. 4-6 points),41
2018,settlemalet. village 2nd level (intermediate. 4-6 points),38
2019,settlemalet. village 2nd level (intermediate. 4-6 points),35
2020,settlemalet. village 2nd level (intermediate. 4-6 points),34
2021,settlemalet. village 2nd level (intermediate. 4-6 points),30
2016,settlemalet. village 3rd level (adequate. 7-9 points),24
2017,settlemalet. village 3rd level (adequate. 7-9 points),22
2018,settlemalet. village 3rd level (adequate. 7-9 points),20
2019,settlemalet. village 3rd level (adequate. 7-9 points),19
2020,settlemalet. village 3rd level (adequate. 7-9 points),20
2021,settlemalet. village 3rd level (adequate. 7-9 points),19
2016,settlemalet. village 4th level (high. 10-12 points),13
2017,settlemalet. village 4th level (high. 10-12 points),12
2018,settlemalet. village 4th level (high. 10-12 points),11
2019,settlemalet. village 4th level (high. 10-12 points),10
2020,settlemalet. village 4th level (high. 10-12 points),12
2021,settlemalet. village 4th level (high. 10-12 points),12
2016,urban settlemalet 1st level (basic. 0-3 points),11
2017,urban settlemalet 1st level (basic. 0-3 points),10
2018,urban settlemalet 1st level (basic. 0-3 points),11
2019,urban settlemalet 1st level (basic. 0-3 points),11
2020,urban settlemalet 1st level (basic. 0-3 points),12
2021,urban settlemalet 1st level (basic. 0-3 points),13
2016,urban settlemalet 2nd level (intermediate. 4-6 points),11
2017,urban settlemalet 2nd level (intermediate. 4-6 points),10
2018,urban settlemalet 2nd level (intermediate. 4-6 points),11
2019,urban settlemalet 2nd level (intermediate. 4-6 points),10
2020,urban settlemalet 2nd level (intermediate. 4-6 points),11
2021,urban settlemalet 2nd level (intermediate. 4-6 points),11
2016,urban settlemalet 3rd level (adequate. 7-9 points),10
2017,urban settlemalet 3rd level (adequate. 7-9 points),9
2018,urban settlemalet 3rd level (adequate. 7-9 points),9
2019,urban settlemalet 3rd level (adequate. 7-9 points),9
2020,urban settlemalet 3rd level (adequate. 7-9 points),9
2021,urban settlemalet 3rd level (adequate. 7-9 points),10
2016,urban settlemalet 4th level (high. 10-12 points),7
2017,urban settlemalet 4th level (high. 10-12 points),8
2018,urban settlemalet 4th level (high. 10-12 points),8
2019,urban settlemalet 4th level (high. 10-12 points),8
2020,urban settlemalet 4th level (high. 10-12 points),7
2021,urban settlemalet 4th level (high. 10-12 points),8
2016,city 1st level (basic. 0-3 points),28
2017,city 1st level (basic. 0-3 points),25
2018,city 1st level (basic. 0-3 points),28
2019,city 1st level (basic. 0-3 points),30
2020,city 1st level (basic. 0-3 points),37
2021,city 1st level (basic. 0-3 points),45
2016,city 2nd level (intermediate. 4-6 points),48
2017,city 2nd level (intermediate. 4-6 points),48
2018,city 2nd level (intermediate. 4-6 points),51
2019,city 2nd level (intermediate. 4-6 points),54
2020,city 2nd level (intermediate. 4-6 points),55
2021,city 2nd level (intermediate. 4-6 points),59
2016,city 3rd level (adequate. 7-9 points),67
2017,city 3rd level (adequate. 7-9 points),69
2018,city 3rd level (adequate. 7-9 points),71
2019,city 3rd level (adequate. 7-9 points),72
2020,city 3rd level (adequate. 7-9 points),71
2021,city 3rd level (adequate. 7-9 points),71
2016,city 4th level (high. 10-12 points),80
2017,city 4th level (high. 10-12 points),81
2018,city 4th level (high. 10-12 points),81
2019,city 4th level (high. 10-12 points),82
2020,city 4th level (high. 10-12 points),81
2021,city 4th level (high. 10-12 points),80
2016,female 1st level (basic. 0-3 points),30
2017,female 1st level (basic. 0-3 points),27
2018,female 1st level (basic. 0-3 points),29
2019,female 1st level (basic. 0-3 points),29
2020,female 1st level (basic. 0-3 points),31
2021,female 1st level (basic. 0-3 points),39
2016,female 2nd level (intermediate. 4-6 points),46
2017,female 2nd level (intermediate. 4-6 points),43
2018,female 2nd level (intermediate. 4-6 points),44
2019,female 2nd level (intermediate. 4-6 points),45
2020,female 2nd level (intermediate. 4-6 points),44
2021,female 2nd level (intermediate. 4-6 points),51
2016,female 3rd level (adequate. 7-9 points),56
2017,female 3rd level (adequate. 7-9 points),56
2018,female 3rd level (adequate. 7-9 points),56
2019,female 3rd level (adequate. 7-9 points),58
2020,female 3rd level (adequate. 7-9 points),55
2021,female 3rd level (adequate. 7-9 points),65
2016,female 4th level (high. 10-12 points),71
2017,female 4th level (high. 10-12 points),71
2018,female 4th level (high. 10-12 points),71
2019,female 4th level (high. 10-12 points),71
2020,female 4th level (high. 10-12 points),69
2021,female 4th level (high. 10-12 points),78
2016,male 1st level (basic. 0-3 points),70
2017,male 1st level (basic. 0-3 points),73
2018,male 1st level (basic. 0-3 points),71
2019,male 1st level (basic. 0-3 points),71
2020,male 1st level (basic. 0-3 points),69
2021,male 1st level (basic. 0-3 points),61
2016,male 2nd level (intermediate. 4-6 points),54
2017,male 2nd level (intermediate. 4-6 points),57
2018,male 2nd level (intermediate. 4-6 points),56
2019,male 2nd level (intermediate. 4-6 points),55
2020,male 2nd level (intermediate. 4-6 points),56
2021,male 2nd level (intermediate. 4-6 points),49
2016,male 3rd level (adequate. 7-9 points),44
2017,male 3rd level (adequate. 7-9 points),44
2018,male 3rd level (adequate. 7-9 points),44
2019,male 3rd level (adequate. 7-9 points),42
2020,male 3rd level (adequate. 7-9 points),45
2021,male 3rd level (adequate. 7-9 points),35
2016,male 4th level (high. 10-12 points),29
2017,male 4th level (high. 10-12 points),29
2018,male 4th level (high. 10-12 points),29
2019,male 4th level (high. 10-12 points),29
2020,male 4th level (high. 10-12 points),31
2021,male 4th level (high. 10-12 points),22
