Year,Ec_activ,Value
2015,,16.38
2016,,12.93
2017,,21.15
2018,,18.27
2019,,13.72
2020,,10.05
2015,indu,14.38
2016,indu,9.5
2017,indu,11.17
2018,indu,9.18
2019,indu,2.63
2020,indu,3.15
2015,agri,6.83
2016,agri,6.64
2017,agri,8.13
2018,agri,4.4
2019,agri,12.46
2020,agri,9.7
2015,fores,
2016,fores,
2017,fores,
2018,fores,
2019,fores,
2020,fores,
2015,transp,38.24
2016,transp,24.95
2017,transp,22.3
2018,transp,27.23
2019,transp,4.6
2020,transp,9.4
2015,commun,
2016,commun,
2017,commun,
2018,commun,
2019,commun,
2020,commun,
2015,constr,74.31
2016,constr,0.92
2017,constr,
2018,constr,
2019,constr,1.2
2020,constr,82.06
2015,trade,96.42
2016,trade,95.93
2017,trade,95.31
2018,trade,95.15
2019,trade,93.46
2020,trade,7.49
2015,logis,11.49
2016,logis,9.89
2017,logis,16.02
2018,logis,13.74
2019,logis,7.95
2020,logis,9.42
2015,resid,19.75
2016,resid,18.97
2017,resid,40.23
2018,resid,38.68
2019,resid,38.27
2020,resid,25.84
2015,care,27.56
2016,care,25.43
2017,care,27.23
2018,care,20.29
2019,care,17.9
2020,care,39.23
2015,pub_ed,95.11
2016,pub_ed,95.12
2017,pub_ed,94.49
2018,pub_ed,92.37
2019,pub_ed,98.4
2020,pub_ed,97.69
2015,oth_sec,17.4
2016,oth_sec,16.67
2017,oth_sec,12.25
2018,oth_sec,62.19
2019,oth_sec,26.34
2020,oth_sec,10.8
