Year,Group,Value
2015,GDP energy intensity,100
2016,GDP energy intensity,102.3
2017,GDP energy intensity,94.7
2018,GDP energy intensity,95.3
2019,GDP energy intensity,88.2
2020,GDP energy intensity,
2015,GDP material intensity,100
2016,GDP material intensity,100
2017,GDP material intensity,98.2
2018,GDP material intensity,97.2
2019,GDP material intensity,100.5
2020,GDP material intensity,
2015,GDP carbon intensity,100
2016,GDP carbon intensity,105.8
2017,GDP carbon intensity,85.1
2018,GDP carbon intensity,83.8
2019,GDP carbon intensity,77.9
2020,GDP carbon intensity,
2015,GDP water intensity,100
2016,GDP water intensity,98.2
2017,GDP water intensity,91.6
2018,GDP water intensity,95.2
2019,GDP water intensity,91.7
2020,GDP water intensity,
2015,GDP waste intensity,100
2016,GDP waste intensity,92.5
2017,GDP waste intensity,111.6
2018,GDP waste intensity,104
2019,GDP waste intensity,126.2
2020,GDP waste intensity,
