Year,Group,Value
2015,electricity generation,157.7
2016,electricity generation,154.8
2017,electricity generation,155.4
2018,electricity generation,159.4
2019,electricity generation,154
2020,electricity generation,148.9
2015,power generating companies of TPP,49.4
2016,power generating companies of TPP,49.9
2017,power generating companies of TPP,45
2018,power generating companies of TPP,47.8
2019,power generating companies of TPP,44.9
2020,power generating companies of TPP,39.6
2015,CHP,6.1
2016,CHP,6.7
2017,CHP,10.9
2018,CHP,11
2019,CHP,10.9
2020,CHP,12.8
2015,HPP,5.2
2016,HPP,7.5
2017,HPP,9
2018,HPP,10.4
2019,HPP,6.5
2020,HPP,6
2015,PSP,1.6
2016,PSP,1.6
2017,PSP,1.6
2018,PSP,1.6
2019,PSP,1.3
2020,PSP,1.6
2015,NPP,87.6
2016,NPP,81
2017,NPP,85.6
2018,NPP,84.4
2019,NPP,83
2020,NPP,76.2
2015,captive power plants,6.2
2016,captive power plants,6.6
2017,captive power plants,1.5
2018,captive power plants,1.5
2019,captive power plants,1.8
2020,captive power plants,1.8
2015,alternative energy sources (WPS, SPP, biomass),1.6
2016,alternative energy sources (WPS, SPP, biomass),1.6
2017,alternative energy sources (WPS, SPP, biomass),1.9
2018,alternative energy sources (WPS, SPP, biomass),2.6
2019,alternative energy sources (WPS, SPP, biomass),5.5
2020,alternative energy sources (WPS, SPP, biomass),10.9
