Year,Group,Value
2015,all population. 15-24 years,100
2016,all population. 15-24 years,100
2017,all population. 15-24 years,100
2018,all population. 15-24 years,100
2019,all population. 15-24 years,100
2020,all population. 15-24 years,100
2015,all population. 25-64 years,100
2016,all population. 25-64 years,100
2017,all population. 25-64 years,100
2018,all population. 25-64 years,100
2019,all population. 25-64 years,100
2020,all population. 25-64 years,100
2015,all population.complete higher. 15-24 years,10.5
2016,all population.complete higher. 15-24 years,9.7
2017,all population.complete higher. 15-24 years,9.7
2018,all population.complete higher. 15-24 years,9.1
2019,all population.complete higher. 15-24 years,9.9
2020,all population.complete higher. 15-24 years,7.8
2015,all population.complete higher. 25-64 years,28.8
2016,all population.complete higher. 25-64 years,29.3
2017,all population.complete higher. 25-64 years,29.9
2018,all population.complete higher. 25-64 years,30.8
2019,all population.complete higher. 25-64 years,29.5
2020,all population.complete higher. 25-64 years,29.9
2015,all population.basic higher. 15-24 years,4.8
2016,all population.basic higher. 15-24 years,5
2017,all population.basic higher. 15-24 years,4.9
2018,all population.basic higher. 15-24 years,5
2019,all population.basic higher. 15-24 years,5.3
2020,all population.basic higher. 15-24 years,5
2015,all population.basic higher. 25-64 years,0.8
2016,all population.basic higher. 25-64 years,0.8
2017,all population.basic higher. 25-64 years,0.8
2018,all population.basic higher. 25-64 years,1
2019,all population.basic higher. 25-64 years,1.5
2020,all population.basic higher. 25-64 years,1.4
2015,all population.incomplete higher. 15-24 years,10.1
2016,all population.incomplete higher. 15-24 years,10.3
2017,all population.incomplete higher. 15-24 years,10
2018,all population.incomplete higher. 15-24 years,8.7
2019,all population.incomplete higher. 15-24 years,11.3
2020,all population.incomplete higher. 15-24 years,10
2015,all population.incomplete higher. 25-64 years,19.3
2016,all population.incomplete higher. 25-64 years,19.4
2017,all population.incomplete higher. 25-64 years,19.2
2018,all population.incomplete higher. 25-64 years,18.7
2019,all population.incomplete higher. 25-64 years,19.7
2020,all population.incomplete higher. 25-64 years,19.5
2015,all population.professional and technical. 15-24 years,13.4
2016,all population.professional and technical. 15-24 years,13.9
2017,all population.professional and technical. 15-24 years,13.2
2018,all population.professional and technical. 15-24 years,12.6
2019,all population.professional and technical. 15-24 years,12.7
2020,all population.professional and technical. 15-24 years,11.6
2015,all population.professional and technical. 25-64 years,25.5
2016,all population.professional and technical. 25-64 years,25.7
2017,all population.professional and technical. 25-64 years,25.6
2018,all population.professional and technical. 25-64 years,25.8
2019,all population.professional and technical. 25-64 years,26.1
2020,all population.professional and technical. 25-64 years,26.2
