Year,Group,Value
2015,,
2016,,
2017,,51
2018,,50
2019,,57
2020,,
2015,18-35 years,
2016,18-35 years,
2017,18-35 years,50
2018,18-35 years,50
2019,18-35 years,57
2020,18-35 years,
2015,36-60 years,
2016,36-60 years,
2017,36-60 years,50
2018,36-60 years,50
2019,36-60 years,57
2020,36-60 years,
2015,61 and older,
2016,61 and older,
2017,61 and older,53
2018,61 and older,51
2019,61 and older,58
2020,61 and older,
2015,male,
2016,male,
2017,male,50
2018,male,50
2019,male,58
2020,male,
2015,female,
2016,female,
2017,female,51
2018,female,50
2019,female,57
2020,female,
