Year,Group,Value
2015,,
2016,,
2017,,
2018,,62
2019,,64
2020,,
2015,18-35 years,
2016,18-35 years,
2017,18-35 years,
2018,18-35 years,61
2019,18-35 years,65
2020,18-35 years,
2015,36-60 years,
2016,36-60 years,
2017,36-60 years,
2018,36-60 years,61
2019,36-60 years,64
2020,36-60 years,
2015,61 and older,
2016,61 and older,
2017,61 and older,
2018,61 and older,63
2019,61 and older,63
2020,61 and older,
2015,male,
2016,male,
2017,male,
2018,male,61
2019,male,63
2020,male,
2015,female,
2016,female,
2017,female,
2018,female,62
2019,female,64
2020,female,
2015,urban,
2016,urban,
2017,urban,
2018,urban,62
2019,urban,68
2020,urban,
2015,rural,
2016,rural,
2017,rural,
2018,rural,63
2019,rural,60
2020,rural,
