Year,Group,Value
2015,,88.6
2016,,108.9
2017,,107.1
2018,,98.5
2019,,103.9
2020,,99.5
2015,production of meat and meat products,100.2
2016,production of meat and meat products,104.1
2017,production of meat and meat products,104.3
2018,production of meat and meat products,99.9
2019,production of meat and meat products,102
2020,production of meat and meat products,100
2015,processing and preserving of fish. crustaceans and molluscs,78.5
2016,processing and preserving of fish. crustaceans and molluscs,128.4
2017,processing and preserving of fish. crustaceans and molluscs,109.2
2018,processing and preserving of fish. crustaceans and molluscs,114.1
2019,processing and preserving of fish. crustaceans and molluscs,104
2020,processing and preserving of fish. crustaceans and molluscs,97.4
2015,processing and preserving of fruits and vegetables,84.7
2016,processing and preserving of fruits and vegetables,106
2017,processing and preserving of fruits and vegetables,101.6
2018,processing and preserving of fruits and vegetables,109.9
2019,processing and preserving of fruits and vegetables,99.4
2020,processing and preserving of fruits and vegetables,105.6
2015,production of oil and animal fats,85.9
2016,production of oil and animal fats,118.4
2017,production of oil and animal fats,117.5
2018,production of oil and animal fats,97.9
2019,production of oil and animal fats,113.7
2020,production of oil and animal fats,104.8
2015,production of dairy products,91.7
2016,production of dairy products,99.7
2017,production of dairy products,100.8
2018,production of dairy products,101.7
2019,production of dairy products,95.1
2020,production of dairy products,100.2
2015,production of flour and cereal products. starches and starch products,101.1
2016,production of flour and cereal products. starches and starch products,103.1
2017,production of flour and cereal products. starches and starch products,98.9
2018,production of flour and cereal product. starches and starch products,89.2
2019,production of flour and cereal products. starches and starch products,104.1
2020,production of flour and cereal products. starches and starch products,93.6
2015,production of flour and cereal products,94.7
2016,production of flour and cereal products,97.7
2017,production of flour and cereal products,95.1
2018,production of flour and cereal products,91.2
2019,production of flour and cereal products,104.2
2020,production of flour and cereal products,87
2015,production of bread. bakery and flour products,85.3
2016,production of bread. bakery and flour products,97.6
2017,production of bread. bakery and flour products,98.5
2018,production of bread. bakery and flour products,95
2019,production of bread. bakery and flour products,94
2020,production of bread. bakery and flour products,95.7
2015,production of bread and bakery products. production of  short-term storage flour confectionery. cakes and pastries,87.4
2016,production of bread and bakery products. production of  short-term storage flour confectioner. cakes and pastries,96
2017,production of bread and bakery products. production of  short-term storage flour confectionery. cakes and pastries,95.4
2018,production of bread and bakery products. production of  short-term storage flour confectionery. cakes and pastries,93.2
2019,production of bread and bakery products. production of  short-term storage flour confectionery. cakes and pastries,91.1
2020,production of bread and bakery products. production of  short-term storage flour confectionery. cakes and pastries,95.3
2015,production of rusks and biscuits. production of  long-term storage flour confectionery. cakes and pastries,80.7
2016,production of rusks and biscuits. production of  long-term storage flour confectionery. cakes and pastries,101.4
2017,production of rusks and biscuits. production of  long-term storage flour confectionery. cakes and pastries,105.1
2018,production of rusks and biscuits. production of  long-term storage flour confectionery. cakes and pastries,99.2
2019,production of rusks and biscuits. production of  long-term storage flour confectionery. cakes and pastries,99.3
2020,production of rusks and biscuits. production of  long-term storage flour confectionery. cakes and pastries,96.5
2015,production of sugar,69.1
2016,production of sugar,133.6
2017,production of sugar,100.9
2018,production of sugar,89.6
2019,production of sugar,82.8
2020,production of sugar,67
2015,production of cocoa. chocolate and sugar confectionery,83.2
2016,production of cocoa. chocolate and sugar confectionery,97.2
2017,production of cocoa. chocolate and sugar confectionery,106.5
2018,production of cocoa. chocolate and sugar confectionery,107.7
2019,production of cocoa. chocolate and sugar confectionery,111.3
2020,production of cocoa. chocolate and sugar confectionery,98.8
2015,production of tea and coffee,93.6
2016,production of tea and coffee,97.2
2017,production of tea and coffee,103.6
2018,production of tea and coffee,104
2019,production of tea and coffee,97.3
2020,production of tea and coffee,93.2
2015,production of spices and seasonings,84.2
2016,production of spices and seasonings,100.8
2017,production of spices and seasonings,103.3
2018,production of spices and seasonings,100
2019,production of spices and seasonings,101.6
2020,production of spices and seasonings,104.4
2015,production of other food products not elsewhere classified,74.7
2016,production of other food products not elsewhere classified,93.8
2017,production of other food products not elsewhere classified,102.3
2018,production of other food products not elsewhere classified,104.9
2019,production of other food products not elsewhere classified,64.1
2020,production of other food products not elsewhere classified,92.6
