Year,Еconomic activity,Value
2015,,16.38
2016,,12.93
2017,,21.15
2018,,18.27
2019,,13.72
2020,,10.05
2015,industry,14.38
2016,industry,9.5
2017,industry,11.17
2018,industry,9.18
2019,industry,2.63
2020,industry,3.15
2015,agriculture,6.83
2016,agriculture,6.64
2017,agriculture,8.13
2018,agriculture,4.4
2019,agriculture,12.46
2020,agriculture,9.7
2015,forestry,
2016,forestry,
2017,forestry,
2018,forestry,
2019,forestry,
2020,forestry,
2015,transport,38.24
2016,transport,24.95
2017,transport,22.3
2018,transport,27.23
2019,transport,4.6
2020,transport,9.4
2015,communication,
2016,communication,
2017,communication,
2018,communication,
2019,communication,
2020,communication,
2015,construction,74.31
2016,construction,0.92
2017,construction,
2018,construction,
2019,construction,1.2
2020,construction,82.06
2015,trade and catering,96.42
2016,trade and catering,95.93
2017,trade and catering,95.31
2018,trade and catering,95.15
2019,trade and catering,93.46
2020,trade and catering,7.49
2015,logistics,11.49
2016,logistics,9.89
2017,logistics,16.02
2018,logistics,13.74
2019,logistics,7.95
2020,logistics,9.42
2015,residential sector,19.75
2016,residential sector,18.97
2017,residential sector,40.23
2018,residential sector,38.68
2019,residential sector,38.27
2020,residential sector,25.84
2015,"health care, physical education",27.56
2016,"health care, physical education",25.43
2017,"health care, physical education",27.23
2018,"health care, physical education",20.29
2019,"health care, physical education",17.9
2020,"health care, physical education",39.23
2015,public education,95.11
2016,public education,95.12
2017,public education,94.49
2018,public education,92.37
2019,public education,98.4
2020,public education,97.69
2015,other sectors,17.4
2016,other sectors,16.67
2017,other sectors,12.25
2018,other sectors,62.19
2019,other sectors,26.34
2020,other sectors,10.8
