Year,Group,Value
2015,,99.2
2016,,103.5
2017,,103.1
2018,,102.2
2019,,101.8
2020,,100.3
2021,,
2015,"agriculture, forestry and fisheries",
2016,"agriculture, forestry and fisheries",106.5
2017,"agriculture, forestry and fisheries",97.7
2018,"agriculture, forestry and fisheries",105.3
2019,"agriculture, forestry and fisheries",98.6
2020,"agriculture, forestry and fisheries",98.8
2021,"agriculture, forestry and fisheries",
2015,industry,
2016,industry,105.0
2017,industry,101.7
2018,industry,102.7
2019,industry,98.2
2020,industry,99.6
2021,industry,
2015,construction,
2016,construction,114.6
2017,construction,125.7
2018,construction,105.0
2019,construction,117.9
2020,construction,110.4
2021,construction,
2015,wholesale and retail trade; repair of motor vehicles and motorcycles,
2016,wholesale and retail trade; repair of motor vehicles and motorcycles,104.1
2017,wholesale and retail trade; repair of motor vehicles and motorcycles,102.1
2018,wholesale and retail trade; repair of motor vehicles and motorcycles,101.0
2019,wholesale and retail trade; repair of motor vehicles and motorcycles,99.5
2020,wholesale and retail trade; repair of motor vehicles and motorcycles,109.5
2021,wholesale and retail trade; repair of motor vehicles and motorcycles,
2015,"transport, warehousing, post and courier services",
2016,"transport, warehousing, post and courier services",103.2
2017,"transport, warehousing, post and courier services",104.6
2018,"transport, warehousing, post and courier services",100.9
2019,"transport, warehousing, post and courier services",103.5
2020,"transport, warehousing, post and courier services",86.0
2021,"transport, warehousing, post and courier services",
2015,temporary accommodation and catering,
2016,temporary accommodation and catering,105.8
2017,temporary accommodation and catering,104.4
2018,temporary accommodation and catering,104.6
2019,temporary accommodation and catering,102.1
2020,temporary accommodation and catering,85.6
2021,temporary accommodation and catering,
2015,information and telecommunications,
2016,information and telecommunications,105.6
2017,information and telecommunications,108.8
2018,information and telecommunications,104.0
2019,information and telecommunications,103.5
2020,information and telecommunications,104.8
2021,information and telecommunications,
2015,financial and insurance activities,
2016,financial and insurance activities,97.8
2017,financial and insurance activities,126.9
2018,financial and insurance activities,109.6
2019,financial and insurance activities,106.7
2020,financial and insurance activities,101.7
2021,financial and insurance activities,
2015,real estate transactions,
2016,real estate transactions,107.3
2017,real estate transactions,103.2
2018,real estate transactions,105.8
2019,real estate transactions,106.8
2020,real estate transactions,104.9
2021,real estate transactions,
2015,"professional, scientific and technical activities",
2016,"professional, scientific and technical activities",103.7
2017,"professional, scientific and technical activities",108.9
2018,"professional, scientific and technical activities",100.6
2019,"professional, scientific and technical activities",107.5
2020,"professional, scientific and technical activities",88.2
2021,"professional, scientific and technical activities",
2015,administrative and support service activities,
2016,administrative and support service activities,106.6
2017,administrative and support service activities,102.8
2018,administrative and support service activities,102.1
2019,administrative and support service activities,102.1
2020,administrative and support service activities,91.6
2021,administrative and support service activities,
2015,public administration and defense; compulsory social insurance,
2016,public administration and defense; compulsory social insurance,101.1
2017,public administration and defense; compulsory social insurance,93.8
2018,public administration and defense; compulsory social insurance,103.6
2019,public administration and defense; compulsory social insurance,117.4
2020,public administration and defense; compulsory social insurance,97.9
2021,public administration and defense; compulsory social insurance,
2015,education,
2016,education,99.2
2017,education,102.4
2018,education,100.4
2019,education,103.4
2020,education,94.9
2021,education,
2015,health care and social assistance,
2016,health care and social assistance,97.9
2017,health care and social assistance,101.5
2018,health care and social assistance,97.7
2019,health care and social assistance,106.9
2020,health care and social assistance,106.7
2021,health care and social assistance,
2015,"arts, sports, entertainment and recreation",
2016,"arts, sports, entertainment and recreation",101.4
2017,"arts, sports, entertainment and recreation",101.6
2018,"arts, sports, entertainment and recreation",103.5
2019,"arts, sports, entertainment and recreation",104.2
2020,"arts, sports, entertainment and recreation",91.2
2021,"arts, sports, entertainment and recreation",
2015,provision of other services,
2016,provision of other services,102.9
2017,provision of other services,106.1
2018,provision of other services,103.1
2019,provision of other services,108.6
2020,provision of other services,82.2
2021,provision of other services,
