Year,Region,Value
2015,,31.2
2016,,30.4
2017,,24.7
2018,,29.6
2019,,45.8
2020,,70.2
2015,11_reg_Vinnytsya,
2016,11_reg_Vinnytsya,
2017,11_reg_Vinnytsya,
2018,11_reg_Vinnytsya,
2019,11_reg_Vinnytsya,64.4
2020,11_reg_Vinnytsya,76.4
2015,12_reg_Volyn,
2016,12_reg_Volyn,
2017,12_reg_Volyn,
2018,12_reg_Volyn,
2019,12_reg_Volyn,41.2
2020,12_reg_Volyn,40.5
2015,13_reg_Dnipropetrovsk,
2016,13_reg_Dnipropetrovsk,
2017,13_reg_Dnipropetrovsk,
2018,13_reg_Dnipropetrovsk,
2019,13_reg_Dnipropetrovsk,56.4
2020,13_reg_Dnipropetrovsk,79.3
2015,14_reg_Donetsk,
2016,14_reg_Donetsk,
2017,14_reg_Donetsk,
2018,14_reg_Donetsk,
2019,14_reg_Donetsk,43.2
2020,14_reg_Donetsk,63.3
2015,15_reg_Zhytomyr,
2016,15_reg_Zhytomyr,
2017,15_reg_Zhytomyr,
2018,15_reg_Zhytomyr,
2019,15_reg_Zhytomyr,42.9
2020,15_reg_Zhytomyr,50.7
2015,16_reg_Zakarpattya,
2016,16_reg_Zakarpattya,
2017,16_reg_Zakarpattya,
2018,16_reg_Zakarpattya,
2019,16_reg_Zakarpattya,35.2
2020,16_reg_Zakarpattya,35.9
2015,17_reg_Zaporizhya,
2016,17_reg_Zaporizhya,
2017,17_reg_Zaporizhya,
2018,17_reg_Zaporizhya,
2019,17_reg_Zaporizhya,47.8
2020,17_reg_Zaporizhya,91.7
2015,18_reg_Ivano-Frankivsk,
2016,18_reg_Ivano-Frankivsk,
2017,18_reg_Ivano-Frankivsk,
2018,18_reg_Ivano-Frankivsk,
2019,18_reg_Ivano-Frankivsk,34.5
2020,18_reg_Ivano-Frankivsk,50.7
2015,19_reg_Kyiv,
2016,19_reg_Kyiv,
2017,19_reg_Kyiv,
2018,19_reg_Kyiv,
2019,19_reg_Kyiv,33.6
2020,19_reg_Kyiv,45.0
2015,20_reg_Kirovohrad,
2016,20_reg_Kirovohrad,
2017,20_reg_Kirovohrad,
2018,20_reg_Kirovohrad,
2019,20_reg_Kirovohrad,33.0
2020,20_reg_Kirovohrad,59.3
2015,21_reg_Luhansk,
2016,21_reg_Luhansk,
2017,21_reg_Luhansk,
2018,21_reg_Luhansk,
2019,21_reg_Luhansk,49.2
2020,21_reg_Luhansk,69.2
2015,22_reg_Lviv,
2016,22_reg_Lviv,
2017,22_reg_Lviv,
2018,22_reg_Lviv,
2019,22_reg_Lviv,35.5
2020,22_reg_Lviv,50.5
2015,23_reg_Mykolayiv,
2016,23_reg_Mykolayiv,
2017,23_reg_Mykolayiv,
2018,23_reg_Mykolayiv,
2019,23_reg_Mykolayiv,46.2
2020,23_reg_Mykolayiv,84.4
2015,24_reg_Odesa,
2016,24_reg_Odesa,
2017,24_reg_Odesa,
2018,24_reg_Odesa,
2019,24_reg_Odesa,50.1
2020,24_reg_Odesa,132.5
2015,25_reg_Poltava,
2016,25_reg_Poltava,
2017,25_reg_Poltava,
2018,25_reg_Poltava,
2019,25_reg_Poltava,35.8
2020,25_reg_Poltava,47.7
2015,26_reg_Rivne,
2016,26_reg_Rivne,
2017,26_reg_Rivne,
2018,26_reg_Rivne,
2019,26_reg_Rivne,34.7
2020,26_reg_Rivne,42.3
2015,27_reg_Sumy,
2016,27_reg_Sumy,
2017,27_reg_Sumy,
2018,27_reg_Sumy,
2019,27_reg_Sumy,42.6
2020,27_reg_Sumy,55.3
2015,28_reg_Ternopil,
2016,28_reg_Ternopil,
2017,28_reg_Ternopil,
2018,28_reg_Ternopil,
2019,28_reg_Ternopil,52.1
2020,28_reg_Ternopil,52.2
2015,29_reg_Kharkiv,
2016,29_reg_Kharkiv,
2017,29_reg_Kharkiv,
2018,29_reg_Kharkiv,
2019,29_reg_Kharkiv,39.0
2020,29_reg_Kharkiv,66.2
2015,30_reg_Kherson,
2016,30_reg_Kherson,
2017,30_reg_Kherson,
2018,30_reg_Kherson,
2019,30_reg_Kherson,41.8
2020,30_reg_Kherson,110.5
2015,31_reg_Khmelnytskiy,
2016,31_reg_Khmelnytskiy,
2017,31_reg_Khmelnytskiy,
2018,31_reg_Khmelnytskiy,
2019,31_reg_Khmelnytskiy,69.2
2020,31_reg_Khmelnytskiy,68.6
2015,32_reg_Cherkasy,
2016,32_reg_Cherkasy,
2017,32_reg_Cherkasy,
2018,32_reg_Cherkasy,
2019,32_reg_Cherkasy,37.0
2020,32_reg_Cherkasy,49.7
2015,33_reg_Chernivtsi,
2016,33_reg_Chernivtsi,
2017,33_reg_Chernivtsi,
2018,33_reg_Chernivtsi,
2019,33_reg_Chernivtsi,30.7
2020,33_reg_Chernivtsi,41.3
2015,34_reg_Chernihiv,
2016,34_reg_Chernihiv,
2017,34_reg_Chernihiv,
2018,34_reg_Chernihiv,
2019,34_reg_Chernihiv,45.1
2020,34_reg_Chernihiv,51.2
2015,35_reg_Kyiv_city,
2016,35_reg_Kyiv_city,
2017,35_reg_Kyiv_city,
2018,35_reg_Kyiv_city,
2019,35_reg_Kyiv_city,85.6
2020,35_reg_Kyiv_city,209.7
