Year,Region,Value
2015,,50.9
2016,,51.4
2017,,51.7
2018,,52.8
2019,,53.6
2020,,53.8
2021,,53.0
2015,Vinnytsya,51.3
2016,Vinnytsya,52.6
2017,Vinnytsya,54.4
2018,Vinnytsya,55.2
2019,Vinnytsya,56.4
2020,Vinnytsya,57.5
2021,Vinnytsya,58.7
2015,Volyn,50.3
2016,Volyn,50.4
2017,Volyn,51.6
2018,Volyn,54.4
2019,Volyn,53.5
2020,Volyn,55.1
2021,Volyn,55.6
2015,Dnipropetrovsk,58.8
2016,Dnipropetrovsk,61.9
2017,Dnipropetrovsk,64.1
2018,Dnipropetrovsk,65.9
2019,Dnipropetrovsk,65.9
2020,Dnipropetrovsk,65.6
2021,Dnipropetrovsk,61.8
2015,Donetsk,53.3
2016,Donetsk,54.3
2017,Donetsk,50.7
2018,Donetsk,49.8
2019,Donetsk,49.7
2020,Donetsk,48.7
2021,Donetsk,46.4
2015,Zhytomyr,48.7
2016,Zhytomyr,48.9
2017,Zhytomyr,50.2
2018,Zhytomyr,52.7
2019,Zhytomyr,54.2
2020,Zhytomyr,54.2
2021,Zhytomyr,52.1
2015,Zakarpattya,45.7
2016,Zakarpattya,47.6
2017,Zakarpattya,47.0
2018,Zakarpattya,48.7
2019,Zakarpattya,49.9
2020,Zakarpattya,52.2
2021,Zakarpattya,53.4
2015,Zaporizhzhya,51.6
2016,Zaporizhzhya,51.0
2017,Zaporizhzhya,52.2
2018,Zaporizhzhya,54.9
2019,Zaporizhzhya,55.0
2020,Zaporizhzhya,56.1
2021,Zaporizhzhya,55.5
2015,Ivano-Frankivsk,41.7
2016,Ivano-Frankivsk,42.6
2017,Ivano-Frankivsk,43.9
2018,Ivano-Frankivsk,46.7
2019,Ivano-Frankivsk,48.7
2020,Ivano-Frankivsk,49.8
2021,Ivano-Frankivsk,51.2
2015,Kyiv,63.3
2016,Kyiv,62.5
2017,Kyiv,63.8
2018,Kyiv,64.0
2019,Kyiv,65.0
2020,Kyiv,60.6
2021,Kyiv,61.2
2015,Kirovohrad,53.2
2016,Kirovohrad,53.1
2017,Kirovohrad,54.3
2018,Kirovohrad,55.8
2019,Kirovohrad,57.8
2020,Kirovohrad,57.8
2021,Kirovohrad,56.5
2015,Luhansk,37.5
2016,Luhansk,39.6
2017,Luhansk,36.3
2018,Luhansk,39.8
2019,Luhansk,41.8
2020,Luhansk,43.5
2021,Luhansk,42.6
2015,Lviv,47.0
2016,Lviv,48.8
2017,Lviv,50.7
2018,Lviv,50.4
2019,Lviv,52.1
2020,Lviv,53.1
2021,Lviv,51.7
2015,Mykolayiv,44.2
2016,Mykolayiv,46.6
2017,Mykolayiv,48.1
2018,Mykolayiv,54.6
2019,Mykolayiv,54.0
2020,Mykolayiv,57.2
2021,Mykolayiv,54.8
2015,Odesa,48.0
2016,Odesa,47.2
2017,Odesa,48.0
2018,Odesa,48.5
2019,Odesa,48.0
2020,Odesa,50.1
2021,Odesa,48.6
2015,Poltava,49.6
2016,Poltava,50.7
2017,Poltava,50.9
2018,Poltava,51.1
2019,Poltava,52.8
2020,Poltava,50.9
2021,Poltava,48.7
2015,Rivne,46.1
2016,Rivne,48.3
2017,Rivne,46.4
2018,Rivne,46.0
2019,Rivne,47.4
2020,Rivne,48.5
2021,Rivne,48.4
2015,Sumy,48.6
2016,Sumy,47.3
2017,Sumy,47.6
2018,Sumy,47.9
2019,Sumy,48.9
2020,Sumy,51.4
2021,Sumy,47.1
2015,Ternopil,47.9
2016,Ternopil,46.6
2017,Ternopil,47.5
2018,Ternopil,47.0
2019,Ternopil,48.9
2020,Ternopil,47.7
2021,Ternopil,48.8
2015,Kharkiv,52.8
2016,Kharkiv,51.2
2017,Kharkiv,52.0
2018,Kharkiv,52.1
2019,Kharkiv,52.0
2020,Kharkiv,53.5
2021,Kharkiv,52.0
2015,Kherson,50.9
2016,Kherson,52.6
2017,Kherson,53.1
2018,Kherson,53.5
2019,Kherson,53.2
2020,Kherson,55.0
2021,Kherson,55.0
2015,Khmelnytskiy,48.6
2016,Khmelnytskiy,48.9
2017,Khmelnytskiy,49.0
2018,Khmelnytskiy,50.5
2019,Khmelnytskiy,51.5
2020,Khmelnytskiy,53.8
2021,Khmelnytskiy,53.8
2015,Cherkasy,53.0
2016,Cherkasy,50.5
2017,Cherkasy,48.5
2018,Cherkasy,50.7
2019,Cherkasy,52.1
2020,Cherkasy,52.1
2021,Cherkasy,55.4
2015,Chernivtsi,41.2
2016,Chernivtsi,44.3
2017,Chernivtsi,42.4
2018,Chernivtsi,44.0
2019,Chernivtsi,45.5
2020,Chernivtsi,44.4
2021,Chernivtsi,47.0
2015,Chernihiv,45.8
2016,Chernihiv,46.3
2017,Chernihiv,48.1
2018,Chernihiv,51.3
2019,Chernihiv,52.5
2020,Chernihiv,53.0
2021,Chernihiv,53.8
